h,0.75,0.85,0.95,1.00
0.3535353535353536,"(-0.02675299458090047, 0.02413119989866663)","(-0.030356628826151047, 0.03184712287653091)","(-0.036468059638742556, 0.048497826798767754)","(-0.053102622855143736, 0.1051522782180252)"
0.36363636363636365,"(-0.026596663956550488, 0.023990189682592873)","(-0.030179240432369484, 0.03166102480859376)","(-0.03625495921310919, 0.04821443065333283)","(-0.05279231866992579, 0.10453782284347124)"
0.37373737373737376,"(-0.02644214974817699, 0.023850817873647533)","(-0.03000391312619534, 0.031477089026550366)","(-0.03604433481556902, 0.04793432730665939)","(-0.052485619929782644, 0.10393050686699633)"
0.38383838383838387,"(-0.026289420481045496, 0.023713056081621522)","(-0.02983061119324048, 0.03129527806245546)","(-0.03583614354167293, 0.04765745970135086)","(-0.052182464159803287, 0.10333020657758829)"
0.393939393939394,"(-0.02613844540343485, 0.023576876568463762)","(-0.029659299739520167, 0.031115555309048536)","(-0.03563034347253975, 0.04738377209068918)","(-0.05188279032020225, 0.10273680110602901)"
0.4040404040404041,"(-0.025989194465995184, 0.023442252229662033)","(-0.029489944668030503, 0.030937884995181245)","(-0.03542689364671824, 0.04711321000121489)","(-0.05158653876534665, 0.10215017234376098)"
0.4141414141414142,"(-0.025841638301808956, 0.023309156576258046)","(-0.0293225126561237, 0.030762232162081835)","(-0.03522575403300752, 0.04684572019658184)","(-0.05129365120417894, 0.10157020486451766)"
0.42424242424242425,"(-0.025695748207127504, 0.023177563717471802)","(-0.029156971133649852, 0.03058856264042365)","(-0.03502688550419829, 0.04658125064263635)","(-0.05100407066198045, 0.10099678584860869)"
0.43434343434343436,"(-0.025551496122756336, 0.02304744834391115)","(-0.028993288261834806, 0.030416843028165965)","(-0.03483024981169842, 0.04631975047367251)","(-0.05071774144342264, 0.100429805009755)"
0.4444444444444445,"(-0.025408854616064014, 0.022918785711343773)","(-0.028831432912865645, 0.03024704066913708)","(-0.03463580956100852, 0.04606116995981788)","(-0.05043460909685612, 0.09986915452437503)"
0.4545454545454546,"(-0.025267796863590253, 0.022791551625009714)","(-0.02867137465015609, 0.030079123632330805)","(-0.0344435281880144, 0.045805460475505426)","(-0.050154620379789065, 0.0993147289632261)"
0.4646464646464647,"(-0.025128296634230145, 0.02266572242445353)","(-0.028513083709265644, 0.029913060691888715)","(-0.03425336993606474, 0.04555257446898992)","(-0.0498777232255092, 0.09876642522531018)"
0.4747474747474748,"(-0.024990328272972373, 0.02254127496885618)","(-0.02835653097944733, 0.029748821307741907)","(-0.0340652998338041, 0.04530246543286855)","(-0.049603866710805446, 0.09822414247395718)"
0.48484848484848486,"(-0.024853866685170152, 0.022418186622847402)","(-0.02820168798579993, 0.02958637560688693)","(-0.033879283673732004, 0.045055087875567286)","(-0.049333001024746935, 0.09768778207500219)"
0.494949494949495,"(-0.024718887321324812, 0.022296435242780507)","(-0.028048526872001916, 0.029425694365271926)","(-0.033695287991460765, 0.04481039729375658)","(-0.049065077438479564, 0.09715724753697741)"
0.5050505050505051,"(-0.024585366162362426, 0.022175999163451907)","(-0.027897020383604827, 0.02926674899026977)","(-0.03351328004564559, 0.044568350145660816)","(-0.04880004827600131, 0.09663244445324227)"
0.5151515151515152,"(-0.024453279705385148, 0.0220568571852488)","(-0.027747141851865307, 0.02910951150371624)","(-0.03333322779856157, 0.044328903825228326)","(-0.04853786688587969, 0.09611328044597918)"
0.5252525252525253,"(-0.024322604949879336, 0.021938988561708943)","(-0.027598865178095486, 0.028953954525492005)","(-0.03315509989730352, 0.044092016637129514)","(-0.04827848761387598, 0.09559966511198478)"
0.5353535353535354,"(-0.02419331938436358, 0.021822372987477107)","(-0.02745216481851246, 0.028800051257628242)","(-0.03297886565558528, 0.04385764777255238)","(-0.04802186577644255, 0.09509150997019018)"
0.5454545454545455,"(-0.024065400973460275, 0.0217069905866437)","(-0.027307015769568423, 0.028647775468916482)","(-0.03280449503611656, 0.043625757285765863)","(-0.04776795763506099, 0.09458872841084599)"
