h=0.5,h=0.25,h=0.0
-0.12422942298948933,-0.09147360466918295,-0.07238714309707642
-0.20693803877114067,-0.15237427570736548,-0.1205805602592414
-0.23123529557178,-0.1702650266232362,-0.13473830938637932
-0.12327414698244125,-0.09077020818133107,-0.07183051408475906
-0.18910970467066138,-0.1392467738147153,-0.11019218252506266
-0.20816116432504678,-0.15327489732088007,-0.12129326230973536
-0.06423536869143236,-0.04729830164273106,-0.0374292555939311
-0.3741176886416331,-0.27547333576079336,-0.21799433669703705
-0.32017795779229236,-0.2357560007129426,-0.18656423808071035
-0.2712047906951404,-0.19969568570349647,-0.15802810252385033
-0.25203599361119366,-0.1855811633605159,-0.14685865148621752
-0.016539791045128767,-0.012178711540027094,-0.0096375576121027
-0.2258555602873402,-0.16630377680985395,-0.1316035957373263
-0.27743001311581467,-0.20427949138320786,-0.1616554723959184
-0.24603097065672638,-0.1811594967170768,-0.143359589464952
-0.27863999304766446,-0.20517043350690292,-0.16236051463441298
-0.2057280588392924,-0.1514833335836715,-0.11987551802074768
-0.28002823534549837,-0.2061926352050292,-0.16316942842833138
-0.23163597367597982,-0.17056005713711272,-0.1349717801903694
-0.31529579444245576,-0.23216112705542657,-0.1837194542241692
-0.31657406888020806,-0.23310235633721732,-0.18446429093367187
-0.26707995235462584,-0.1966584516682354,-0.15562460377112408
-0.2423725101090415,-0.17846566971713138,-0.14122784401522323
-0.3419581584083916,-0.25179337264005136,-0.19925532575334648
-0.2645154915820395,-0.19477016735316588,-0.1541303201751377
-0.2796783643768915,-0.20593501540854764,-0.16296556239353377
-0.3229651704460474,-0.23780830347893148,-0.18818831679213138
-0.27152710413894143,-0.1999330141223873,-0.15821591108656502
-0.23473382511240987,-0.17284109194191766,-0.13677686476555348
-0.3779318881994722,-0.278281837757238,-0.22021682958599997
-0.16985490070404796,-0.12506892219438195,-0.09897261620577512
-0.37929983140547924,-0.2792890926653347,-0.2210139153183412
-0.1931172055816149,-0.14219760901316078,-0.11252731002482898
-0.14188473018492023,-0.10447370200397026,-0.08267469992237558
-0.22847808893808055,-0.1682348181304896,-0.13313171485877942
-0.2561509511232536,-0.1886111218649557,-0.14925639278691627
-0.23430026217363883,-0.1725218474030156,-0.13652423232361527
-0.04899751496192327,-0.0360782430244287,-0.028550322794705128
-0.3061438466915076,-0.2254222915172942,-0.1783867131108107
-0.23978255092997391,-0.17655861021098365,-0.13971870277316326
-0.17386240161500108,-0.1280197573928271,-0.10130774370554119
-0.36977620879893575,-0.2722765825178541,-0.21546460328071912
-0.29294753355823805,-0.21570547643762042,-0.1706973639683565
-0.08468036365331714,-0.06235252423833239,-0.049342333352089686
-0.231400095572495,-0.17038637348094607,-0.13483433656695445
-0.21197755771049775,-0.15608501469405955,-0.12351703351835434
-0.302407187236675,-0.22267088447112574,-0.17620940200243584
-0.23628725574654974,-0.17398492644012933,-0.13768203201900178
-0.04549317564655029,-0.033497899805832045,-0.02650838212253379
-0.2017328103035786,-0.1485415201523885,-0.1175475298477078
-0.17085237616253052,-0.1258033913206224,-0.09955383438268887
-0.1035887139717236,-0.07627527233093738,-0.06036002487226958
-0.34670720527448223,-0.25529022890107533,-0.2020225440724681
-0.057042687868986454,-0.042002129236620014,-0.03323815815971022
-0.21990533517340494,-0.16192245935166363,-0.12813646382592161
-0.1861402746263951,-0.1370602992789285,-0.1084619277081402
-0.3182773295791814,-0.23435651490993828,-0.18545676254773258
-0.20911894672986953,-0.15398013933963492,-0.1218513517729669
-0.09103120885685756,-0.06702882949262777,-0.05304290226300668
-0.13901293403811513,-0.10235911804228222,-0.08100133532305678
-0.14503771560483658,-0.1067953335054989,-0.0845119104742896
-0.2841979906980882,-0.2092629428947162,-0.16559909983888968
-0.32555388533498636,-0.23971444677939632,-0.18969673299977174
-0.19858770074468027,-0.14622568786798454,-0.11571490847494961
-0.3755245168539657,-0.2765092227884845,-0.2188140803026058
-0.29790395717541496,-0.21935503001052079,-0.17358541848066528
-0.3233256502025436,-0.23807373482316116,-0.18839836445305708
-0.36082437832661324,-0.2656850989386375,-0.21024846834434738
-0.37433423659051124,-0.2756327860825523,-0.21812051684812853
-0.28411526488969596,-0.20920202956427716,-0.165550896403779
0.014465410036313834,0.010651286685533064,0.008428838201600015
-0.20906127204850836,-0.1539376718558835,-0.12181774535902483
-0.23174019591987755,-0.1706367988952777,-0.1350325093662874
-0.2915592912604047,-0.21468327473949458,-0.16988845017443843
-0.22220110984433353,-0.16361290256233374,-0.12947418693228435
-0.16477922689249822,-0.12133156136234535,-0.09601507589310845
-0.106174347683215,-0.07817914687412258,-0.061866645711088
-0.2659738831674812,-0.19584402193712258,-0.1549801092013322
-0.15949374772923997,-0.11743971497175239,-0.09293528426790094
-0.17609715217892588,-0.12966526684380464,-0.10260990872381374
-0.24526214823958298,-0.18059339123132137,-0.14291160494577165
-0.2808595424938024,-0.20680474994896597,-0.16365382212552335
-0.1174890029320216,-0.08651044453526521,-0.06845957312618793
-0.22763471006815084,-0.1676138146397077,-0.13264028709977083
-0.1836425129160507,-0.13522112735208797,-0.10700650893537172
-0.1654765959026156,-0.1218450537026053,-0.0964214252837122
-0.33925546833013986,-0.2498033062144652,-0.19768049743382662
-0.10103342439692932,-0.0743937410257506,-0.058871085234187624
-0.21590082617171505,-0.158973827179833,-0.12580307967937057
-0.1416146868104515,-0.10427486150157353,-0.08251734856454356
-0.23328608999267858,-0.17177508401222458,-0.13593328514683853
-0.3149745721090267,-0.23192460205167212,-0.18353228143968417
-0.2298860309043099,-0.1692715252463788,-0.13395210743671518
-0.18336769286261534,-0.13501876964714044,-0.10684637425829402
-0.2590464570431304,-0.1907431639968305,-0.15094357281493817
-0.11678685724293932,-0.08599343499245572,-0.06805044041633952
-0.13421085878744793,-0.09882321549600408,-0.07820321793694941
-0.20846849969926576,-0.15350119696749873,-0.12147234331306792
-0.14231717967914112,-0.1047921266824548,-0.08292668357219962
-0.1709887626838963,-0.12590381653743013,-0.09963330533571305
-0.2277280923422537,-0.1676825746244105,-0.13269469994236116
-0.1657114528762439,-0.1220179854722497,-0.09655827390578794
-0.2389112450214476,-0.1759170432592543,-0.13921100223037672
-0.1363910377157739,-0.10042854232276273,-0.0794735846525327
-0.18423600686187627,-0.13565813357225368,-0.10735233144786428
-0.26171954722479385,-0.19271143518926168,-0.1525011535943952
-0.23487644893690096,-0.1729461098597664,-0.13685997012774584
-0.18166725492181235,-0.13376668955034524,-0.10585554743493336
-0.09230987745215712,-0.06797034900366362,-0.05378796864385526
-0.30423701454610713,-0.22401823758513026,-0.17727562261349036
-0.2958353749216683,-0.21783187494184658,-0.17238007794211424
-0.28654590352179604,-0.21099177688802653,-0.1669672032837844
-0.37051086583487963,-0.27281753107622464,-0.21589268000126097
-0.28578200506639784,-0.21042929705325816,-0.1665220879039341
-0.17903068912612966,-0.1318253122866114,-0.10431924902072365
0.0023806643657374804,0.0017529498713030817,0.001387187414718411
-0.35980428034172285,-0.2649339722123901,-0.20965406826561928
-0.2732525932067759,-0.20120354006587043,-0.15922133493109453
-0.2872670403195799,-0.21152277011624476,-0.16738740190756904
-0.10719553677847644,-0.07893107701550568,-0.062461681568045324
-0.18719139976119878,-0.13783427216494126,-0.10907440697202929
-0.22874813231254973,-0.16843365863288665,-0.13328906621661168
-0.1391351181271559,-0.10244908561026107,-0.08107253067215156
0.011706290637802177,0.008619669770465506,0.006821129126601889
-0.18626650219094779,-0.13715324417121239,-0.10853547914674622
-0.295523996071938,-0.21760259797092335,-0.17219864084927086
-0.25842416128236634,-0.19028495019338834,-0.15058096779594082
-0.3584425744388367,-0.2639313100053312,-0.20886061694244368
-0.055067730337286645,-0.04054791267386242,-0.032087371735548056
-0.21300352348472568,-0.15684046203799334,-0.12411485269455726
-0.392489139621856,-0.28900074982844437,-0.22869918277137513
-0.28797720808149047,-0.21204568653603129,-0.16780120899261605
-0.18270813264881405,-0.1345331169828929,-0.10646205564496833
-0.28132079380295993,-0.20714438221072565,-0.1639225882818511
-0.23629642694434147,-0.17399167945001182,-0.137687375976906
-0.2954149971490749,-0.21752233901020843,-0.17213512835410785
-0.016963102712391206,-0.012490407780508653,-0.009884216748846665
-0.23535911278243862,-0.17330150877197542,-0.1371412131377667
