Date,TP,Treatment,Treatment_Cage,Dose_ppm,mean_Survival,n_class
2021-12-22,9,E,E2,5,22,2
2021-12-22,9,E,E2,7.5,15,2
2021-12-22,9,E,E2,10,4,2
2021-12-22,9,E,E2,15,1,2
2021-12-22,9,E,E3,0,83,2
2021-12-22,9,E,E3,2.5,37,2
2021-12-22,9,E,E3,5,29,2
2021-12-22,9,E,E3,7.5,12,2
2021-12-22,9,E,E3,10,3,2
2021-12-22,9,E,E3,15,4,2
2021-12-22,9,E,E4,0,86,2
2021-12-22,9,E,E4,2.5,39,2
2021-12-22,9,E,E4,5,24,2
2021-12-22,9,E,E4,7.5,11,2
2021-12-22,9,E,E4,10,3,2
2021-12-22,9,E,E4,15,3,2
2021-12-22,9,E,E5,0,89,2
2021-12-22,9,E,E5,2.5,59,2
2021-12-22,9,E,E5,5,40,2
2021-12-22,9,E,E5,7.5,26,2
2021-12-22,9,E,E5,10,18,2
